year,age,sex,maritl,race,education,region,jobclass,health,health_ins,wage
2006,36,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,277.8
2005,37,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,73.8
2008,40,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,131.0
2005,51,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,78.2
2008,40,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,90.5
2006,56,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,117.1
2009,50,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.7
2009,49,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,166.3
2007,32,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,81.3
2004,21,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,84.0
2004,48,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,114.5
2007,48,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,73.8
2004,32,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,115.1
2003,30,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,53.0
2006,30,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,118.9
2003,33,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,79.9
2005,56,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,56.5
2004,46,1. Male,4. Divorced,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,90.5
2003,49,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,104.9
2008,24,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,88.0
2009,48,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,147.1
2006,37,1. Male,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,109.8
2007,53,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,118.9
2004,56,1. Male,2. Married,2. Black,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,141.8
2008,34,1. Male,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,108.9
2004,56,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,104.9
2006,48,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8
2006,47,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,27.1
2003,52,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,70.5
2009,40,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,166.9
2008,25,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,127.1
2009,35,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,117.1
2006,40,1. Male,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,103.9
2009,22,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,34.6
2003,50,1. Male,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,100.0
2008,48,1. Male,5. Separated,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,64.9
2007,40,1. Male,1. Never Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8
2003,45,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,127.1
2004,30,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.5
2003,46,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,117.1
2008,34,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,134.7
2007,32,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,65.1
2004,53,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,143.1
2008,32,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,76.9
2004,39,1. Male,2. Married,2. Black,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,99.7
2007,51,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,94.1
2004,40,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,75.4
2009,66,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,127.1
2006,40,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,166.3
2009,52,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,133.2
2007,36,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,125.5
2007,32,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,89.5
2008,45,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,84.0
2006,37,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,169.1
2004,47,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,160.6
2008,49,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,144.2
2003,53,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,73.8
2007,66,1. Male,4. Divorced,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,70.5
2006,33,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,73.8
2004,58,1. Male,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,94.1
2008,41,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,83.2
2009,54,1. Male,2. Married,3. Asian,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,134.7
2009,26,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,86.7
2008,24,1. Male,1. Never Married,4. Other,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,70.5
2007,62,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,131.0
2005,63,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,136.3
2005,26,1. Male,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,114.0
2004,45,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,106.1
2003,23,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,88.0
2008,31,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,116.3
2003,44,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,143.1
2003,43,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,54.6
2004,48,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,48.2
2008,48,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,123.1
2006,55,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,117.6
2004,45,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,272.3
2008,48,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,145.1
2009,63,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.9
2004,57,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,97.5
2008,69,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4
2009,31,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,127.1
2003,38,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,268.3
2005,43,1. Male,5. Separated,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8
2003,19,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,51.9
2005,44,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.5
2007,31,1. Male,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,134.7
2004,49,1. Male,1. Never Married,4. Other,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,88.0
2006,29,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,95.2
2008,26,1. Male,2. Married,4. Other,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,76.9
2007,37,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,116.3
2006,30,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,81.3
2009,35,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,131.6
2004,40,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,117.1
2005,44,1. Male,4. Divorced,4. Other,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,68.7
2004,65,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,125.5
2007,54,1. Male,2. Married,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,101.8
2009,56,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,140.4
2008,48,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,107.9
2009,37,1. Male,4. Divorced,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,58.0
2005,30,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.7
2005,46,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,85.4
2009,37,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,131.7
2005,58,1. Male,4. Divorced,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,81.3
2007,52,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,86.7
2006,45,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,157.7
2008,33,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,65.1
2004,51,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,90.5
2008,50,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,46.8
2006,42,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,85.4
2004,46,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,139.7
2005,43,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4
2003,47,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,81.3
2005,47,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,118.9
2004,44,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,71.2
2008,36,1. Male,2. Married,3. Asian,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,65.1
2008,39,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,65.1
2003,29,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,125.5
2005,40,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,123.1
2007,20,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,70.8
2004,32,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,112.6
2003,36,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,86.7
2009,31,1. Male,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,82.7
2005,28,1. Male,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,131.0
2005,41,1. Male,4. Divorced,4. Other,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,117.1
2004,54,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,177.0
2004,42,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,118.9
2003,19,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,68.7
2009,59,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,267.9
2003,64,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,99.7
2003,31,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,92.7
2004,37,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8
2004,30,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,88.0
2005,24,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.9
2006,26,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,75.0
2004,44,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.5
2008,39,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,276.8
2005,48,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,277.6
2004,53,1. Male,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,80.6
2004,42,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.5
2009,44,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,166.3
2003,25,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,85.4
2004,46,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,43.7
2003,52,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,101.8
2008,33,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,88.0
2007,30,1. Male,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,121.4
2007,38,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8
2005,29,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,79.9
2008,57,1. Male,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,127.1
2003,50,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,115.3
2008,23,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,98.6
2006,46,1. Male,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,144.5
2005,61,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,136.2
2007,70,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,100.8
2009,59,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,76.9
2003,57,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,90.5
2003,25,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,86.7
2005,48,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,123.9
2009,52,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. No,65.1
2009,44,1. Male,5. Separated,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,131.7
2004,40,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,67.0
2008,43,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,196.1
2005,51,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,166.3
2003,43,1. Male,2. Married,3. Asian,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,65.1
2003,42,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,120.6
2008,28,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,101.8
2003,54,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,148.4
2005,34,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,159.1
2004,50,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8
2005,36,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,140.1
2005,36,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,132.4
2005,71,1. Male,3. Widowed,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,118.9
2006,31,1. Male,1. Never Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,97.5
2005,43,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,134.7
2007,20,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,72.2
2007,23,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,88.0
2007,42,1. Male,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,49.6
2005,41,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,149.1
2009,27,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,122.3
2008,29,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,101.8
2008,41,1. Male,4. Divorced,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,99.7
2003,41,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,104.9
2003,22,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,81.3
2003,39,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,73.8
2008,50,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,82.7
2006,49,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,148.4
2003,42,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,118.9
2008,38,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,129.5
2004,55,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,134.7
2005,47,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,79.9
2007,52,1. Male,2. Married,4. Other,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,68.1
2009,56,1. Male,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,40.4
2007,30,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,131.7
2005,56,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,134.7
2003,46,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,114.5
2009,43,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,126.3
2003,35,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,116.7
2009,58,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,109.8
2009,69,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,81.2
2006,68,1. Male,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,88.0
2004,52,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,127.1
2005,46,1. Male,1. Never Married,2. Black,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,104.9
2007,39,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,107.9
2009,66,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,109.8
2005,30,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,117.1
2006,30,1. Male,4. Divorced,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,107.9
2005,43,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,72.2
2008,49,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,160.6
2005,54,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4
2008,48,1. Male,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,143.1
2008,37,1. Male,5. Separated,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,97.5
2007,46,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,141.8
2007,53,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,148.4
2009,31,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8
2006,18,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,59.1
2003,49,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,152.5
2006,39,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,81.3
2003,40,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,43.7
2008,37,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,96.4
2006,24,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,101.8
2007,35,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,131.0
2007,27,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,82.7
2003,44,1. Male,1. Never Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,131.0
2008,46,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,89.2
2005,40,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,85.1
